,CPU 1,CPU 2,CPU 3,CPU 4,IO 1,IO 2
162,P4(42),P6(26),P5(8), ,P2(2), 
163,P4(41),P6(25),P5(7), ,P2(1), 
164,P2(4),P4(40),P6(24),P5(6),P3(14), 
165,P2(3),P4(39),P6(23),P5(5),P3(13), 
166,P2(2),P4(38),P6(22),P5(4),P3(12), 
167,P2(1),P4(37),P6(21),P5(3),P3(11), 
168,P4(36),P6(20),P5(2), ,P3(10), 
169,P4(35),P6(19),P5(1), ,P3(9), 
170,P4(34),P6(18), , ,P3(8), 
171,P4(33),P6(17), , ,P3(7), 
172,P4(32),P6(16), , ,P3(6), 
173,P4(31),P6(15), , ,P3(5), 
174,P4(30),P6(14), , ,P3(4), 
175,P4(29),P6(13), , ,P3(3), 
176,P4(28),P6(12), , ,P3(2), 
177,P4(27),P6(11), , ,P3(1), 
178,P4(26),P6(10), , ,P2(10), 
179,P4(25),P6(9), , ,P2(9), 
180,P4(24),P6(8), , ,P2(8), 
181,P4(23),P6(7), , ,P2(7), 
182,P4(22),P6(6), , ,P2(6), 
183,P4(21),P6(5), , ,P2(5), 
184,P4(20),P6(4), , ,P2(4), 
185,P4(19),P6(3), , ,P2(3), 
186,P4(18),P6(2), , ,P2(2), 
187,P4(17),P6(1), , ,P2(1), 
188,P2(4),P4(16), , ,P5(20),P6(14)
189,P2(3),P4(15), , ,P5(19),P6(13)
190,P2(2),P4(14), , ,P5(18),P6(12)
191,P2(1),P4(13), , ,P5(17),P6(11)
192,P4(12), , , ,P5(16),P6(10)
193,P4(11), , , ,P5(15),P6(9)
194,P4(10), , , ,P5(14),P6(8)
195,P4(9), , , ,P5(13),P6(7)
196,P4(8), , , ,P5(12),P6(6)
197,P4(7), , , ,P5(11),P6(5)
198,P4(6), , , ,P5(10),P6(4)
199,P4(5), , , ,P5(9),P6(3)
200,P4(4), , , ,P5(8),P6(2)
201,P4(3), , , ,P5(7),P6(1)
202,P6(12),P4(2), , ,P5(6), 
203,P6(11),P4(1), , ,P5(5), 
204,P6(10), , , ,P5(4),P4(12)
205,P6(9), , , ,P5(3),P4(11)
206,P6(8), , , ,P5(2),P4(10)
207,P6(7), , , ,P5(1),P4(9)
208,P5(24),P6(6), , ,P2(14),P4(8)
209,P5(23),P6(5), , ,P2(13),P4(7)
210,P5(22),P6(4), , ,P2(12),P4(6)
211,P5(21),P6(3), , ,P2(11),P4(5)
212,P5(20),P6(2), , ,P2(10),P4(4)
213,P5(19),P6(1), , ,P2(9),P4(3)
214,P5(18), , , ,P2(8),P4(2)
215,P5(17), , , ,P2(7),P4(1)
216,P4(24),P5(16), , ,P2(6),P6(10)
217,P4(23),P5(15), , ,P2(5),P6(9)
218,P4(22),P5(14), , ,P2(4),P6(8)
219,P4(21),P5(13), , ,P2(3),P6(7)
220,P4(20),P5(12), , ,P2(2),P6(6)
221,P4(19),P5(11), , ,P2(1),P6(5)
222,P4(18),P5(10), , , ,P6(4)
223,P4(17),P5(9), , , ,P6(3)
224,P4(16),P5(8), , , ,P6(2)
225,P4(15),P5(7), , , ,P6(1)
226,P6(48),P4(14),P5(6), , , 
227,P6(47),P4(13),P5(5), , , 
228,P6(46),P4(12),P5(4), , , 
229,P6(45),P4(11),P5(3), , , 
230,P6(44),P4(10),P5(2), , , 
231,P6(43),P4(9),P5(1), , , 
232,P6(42),P4(8), , ,P5(18), 
233,P6(41),P4(7), , ,P5(17), 
234,P6(40),P4(6), , ,P5(16), 
235,P6(39),P4(5), , ,P5(15), 
236,P6(38),P4(4), , ,P5(14), 
237,P6(37),P4(3), , ,P5(13), 
238,P6(36),P4(2), , ,P5(12), 
239,P6(35),P4(1), , ,P5(11), 
240,P6(34), , , ,P5(10),P4(14)
241,P6(33), , , ,P5(9),P4(13)
242,P6(32), , , ,P5(8),P4(12)
243,P6(31), , , ,P5(7),P4(11)
244,P6(30), , , ,P5(6),P4(10)
245,P6(29), , , ,P5(5),P4(9)
246,P6(28), , , ,P5(4),P4(8)
247,P6(27), , , ,P5(3),P4(7)
248,P6(26), , , ,P5(2),P4(6)
249,P6(25), , , ,P5(1),P4(5)
250,P5(24),P6(24), , , ,P4(4)
251,P5(23),P6(23), , , ,P4(3)
252,P5(22),P6(22), , , ,P4(2)
253,P5(21),P6(21), , , ,P4(1)
254,P5(20),P6(20), , , , 
255,P5(19),P6(19), , , , 
256,P5(18),P6(18), , , , 
257,P5(17),P6(17), , , , 
258,P5(16),P6(16), , , , 
259,P5(15),P6(15), , , , 
260,P5(14),P6(14), , , , 
261,P5(13),P6(13), , , , 
262,P5(12),P6(12), , , , 
263,P5(11),P6(11), , , , 
264,P5(10),P6(10), , , , 
265,P5(9),P6(9), , , , 
266,P5(8),P6(8), , , , 
267,P5(7),P6(7), , , , 
268,P5(6),P6(6), , , , 
269,P5(5),P6(5), , , , 
270,P5(4),P6(4), , , , 
271,P5(3),P6(3), , , , 
272,P5(2),P6(2), , , , 
273,P5(1),P6(1), , , , 
274, , , , ,P6(12),P5(10)
275, , , , ,P6(11),P5(9)
276, , , , ,P6(10),P5(8)
277, , , , ,P6(9),P5(7)
278, , , , ,P6(8),P5(6)
279, , , , ,P6(7),P5(5)
280, , , , ,P6(6),P5(4)
281, , , , ,P6(5),P5(3)
282, , , , ,P6(4),P5(2)
283, , , , ,P6(3),P5(1)
284,P5(24), , , ,P6(2), 
285,P5(23), , , ,P6(1), 
286,P5(22), , , , , 
287,P5(21), , , , , 
288,P5(20), , , , , 
289,P5(19), , , , , 
290,P5(18), , , , , 
291,P5(17), , , , , 
292,P5(16), , , , , 
293,P5(15), , , , , 
294,P5(14), , , , , 
295,P5(13), , , , , 
296,P5(12), , , , , 
297,P5(11), , , , , 
298,P5(10), , , , , 
299,P5(9), , , , , 
300,P5(8), , , , , 
301,P5(7), , , , , 
302,P5(6), , , , , 
303,P5(5), , , , , 
304,P5(4), , , , , 
305,P5(3), , , , , 
306,P5(2), , , , , 
307,P5(1), , , , , 
308, , , , , ,P5(10)
309, , , , , ,P5(9)
310, , , , , ,P5(8)
311, , , , , ,P5(7)
312, , , , , ,P5(6)
313, , , , , ,P5(5)
314, , , , , ,P5(4)
315, , , , , ,P5(3)
316, , , , , ,P5(2)
317, , , , , ,P5(1)
